train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 0.3200, 55.0000, 45.0000, 30.0000, 40.0000, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3616, 0.7934, 0.6724, 0.5649, 0.6588, 0.3589, 0.7762, 0.6650, 0.5637, 0.6615, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3584, 0.8012, 0.6938, 0.5664, 0.6620, 0.3471, 0.7773, 0.6805, 0.5791, 0.6733, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3550, 0.7864, 0.6806, 0.5719, 0.6655, 0.3333, 0.7676, 0.6962, 0.5872, 0.6871, 
